NOME,@INSTAGRAM,SEGUIDORES,NICHO / MECANISMO,TEM PRODUTO?,SCORE,TEMPERATURA,STATUS,DIA AQUECIMENTO,DATA INÍCIO,SEGUIU?,CURTIU POSTS?,COMENTOU?,RESPONDEU STORY?,DATA 1º DM,ESTÁGIO DM,RESPONDEU DM?,OBJEÇÃO,DATA CALL,RESULTADO,REATIVAR EM,OBSERVAÇÕES
Diego Leal,dileal.amz,70900,Amazon FBA - vender em dólar sem estoque,Não (só consultoria),82,Morno,Em aquecimento,2,25/04,✓,✓,✓,-,-,-,-,-,-,-,-,Score 82 - Dia 2 feito 27/04
Suzan Rota,eusuzanrota,76000,TikTok Shop - creator e educadora,Sim,75,Morno,DM enviado,2,26/04,✓,✓,✓,✓,27/04,Abertura,-,-,-,-,-,+7M em vendas - respondeu story - DM enviado via resposta de story 27/04
Laiz Macaneiro,laizmacaneiro,31000,TikTok Shop - curso e mentoria,Sim,70,Morno,Em conversa,2,26/04,✓,✓,✓,✓,27/04,Qualificação,Sim,-,-,-,-,Respondeu! 100% orgânico - já tentou tráfego com equipe mas não deu certo - DM em andamento
Brenda Olivieri,brendaolivieri,160000,TikTok Shop - palestrante e educadora,Sim,68,Morno,DM enviado,2,26/04,✓,✓,✓,-,27/04,Abertura,-,-,-,-,-,160k - palestrante Ela Influencia - DM enviado 27/04 - mencionou empresa
Patrick Beneducci,patrickbeneducci,135000,TikTok Shop,Sim,62,Frio,DM enviado,2,26/04,✓,✓,✓,-,27/04,Abertura,-,-,-,-,-,135k - Dia 2 feito - DM enviado 27/04
Tainá Raquel,tainaraqquel,5000,TikTok Shop,Não,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,5k - Dia 2 feito 27/04
Rafaela Bueno,rafaelafreitascs,319000,Vender online - Povo Academy,Sim,60,Frio,DM enviado,2,26/04,✓,✓,✓,-,27/04,Abertura,-,-,-,-,-,319k - R$1.5M/mês - Povo Academy - grande demais mas vale tentar
Stefany Mello,steemelloo,8527,TikTok Shop - +1M GMV com 8.5k seguidores,Sim,80,Frio,DM enviado,2,26/04,✓,✓,✓,-,27/04,Abertura,-,-,-,-,-,8.5k mas +1M GMV - resultado excepcional - gap de tráfego pago
Priscila Serrano,priserranooficial,277000,TikTok Shop,Sim,60,Frio,DM enviado,2,26/04,✓,✓,✓,-,27/04,Abertura,-,-,-,-,-,277k - Dia 2 feito - DM enviado 27/04
Octávio,octavioshop,20000,TikTok Shop,Sim,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,20k - Dia 2 feito 27/04
Talita Baliza,talitabaliza,10000,TikTok Shop,Não sei,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,10k - Dia 2 feito 27/04
Kennedth Medeiros,kennedthmedeiros,22000,Low ticket digital,Sim,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,22k - Dia 2 feito 27/04
O Grego,grego.ecom,23000,Ecommerce na Europa (COD),Sim,-,Morno,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,23k - COD Europa - Dia 2 feito 27/04
Jonatan Costa,jonatancash,4000,Cash on Delivery,Sim,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,4k - COD - Dia 2 feito 27/04
Jonatas Gonzalez,dropnagringa1,9000,Cash on Delivery,Sim,-,Frio,Em aquecimento,2,26/04,✓,✓,✓,-,-,-,-,-,-,-,-,9k - COD - Dia 2 feito 27/04
Jasmine Borchio,jasmineborchio,48000,Renda extra sem aparecer (método digital),Sim (tem VSL - sem ads),71,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Score 71 - tem VSL mas sem ads rodando - gap de tráfego pago
Junior Maiaa,junniormaiaa,24000,Cash on Delivery na Europa (COD),Sim (mentoria),74,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Score 74 - nicho COD Europa com janela aberta - poucos players
Vitória Muller,euvitoriamuller,86000,TikTok Shop com IA,Sim,-,Morno,Abordada,-,-,-,-,-,-,-,-,-,-,-,-,-,Já abordada anteriormente
Júlia Gonçalves,jugoncalvesdemello,42000,Afiliada TikTok Shop,Não (acho que não),-,Morno,Abordada,-,-,-,-,-,-,-,-,-,-,-,-,-,Já abordada anteriormente
Natiele Bertapeli,natielebertapeli,48000,Ensina vender no Mercado Livre,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Anna Frcoo,annafrcoo,98000,Renda extra com IA,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bianca Constantino,biancaconstantino_,397000,Vender digital (amplo),Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Alto follower - difícil acesso - avaliar score antes
Bottrel,bottrel_,336000,Ensina vender em loja/marketplace,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Alto follower - difícil acesso - avaliar score antes
Lorena SS,lorenassm,193000,Afiliada Shopee,Não sei,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Rafaele Monteiro,eurafaelemonteiro,397000,Afiliado Shopee,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Alto follower - avaliar score
Bruno Gabarra,brunogabarra,256000,Dinheiro com IA do zero,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ander Gavineski,andergavineski,117000,Afiliado Shopee,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Marina Rosa,marinarosaoficial,224000,Renda extra em dólar,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lella Ferrari,lellaferrari,165000,Ajuda pessoas a ganhar em dólares,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Nany Oliveira,nanyyoliveiraa,208000,Vender como afiliada marketplace,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Vik Barboss,vikbarboss_,30000,Vender TikTok Shop com IA,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Sweet spot de seguidores - priorizar score
Shara Barros,sharabarros_,155000,Vender Shopee afiliada,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Tubarão Ecommerce,tubarao_ecommerce,98000,Vender com IA na Amazon,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Gime de Souza,gimedesouza,375000,Ensina vender na internet com DR,Sim,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Alto follower - avaliar score
Pedro Guimarães,opedroguimaraes,154000,Sem mecanismo claro,Não sei,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Sem mecanismo - avaliar com atenção antes de abordar
Anele Bragante,anelegrabante,45000,Vender no Mercado Livre,Não sei,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Maayara,maayara,33000,Vender como afiliada,Não sei,-,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,
Júlia Oliveira,juliaoliveirahia,3303,Produtos digitais + IA (Shopee / Kiwify / TikTok),Sim (Projeto AYLA + Pack VIP + LUM),78,Frio,Não abordado,-,-,-,-,-,-,-,-,-,-,-,-,-,Score 78 - +R$700k com 3k seguidores - conta nova escalando rápido - verificada - gap total de tráfego pago
